Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,3191021589,1680641241,--,--
No,Ch,Hit,Time_H,Time_L,Energy
176,1,0x110222,0,186940072,2885
177,1,0x110222,0,187087720,320
178,0,0x110121,0,187925064,614
179,1,0x110222,0,188466696,1010
180,0,0x110121,0,188978920,1298
181,1,0x110222,0,188979016,1429
182,0,0x110121,0,189616968,2313
183,0,0x110121,0,190009064,2744
184,1,0x110222,0,191332104,2172
185,1,0x110222,0,194867656,787
186,1,0x110222,0,195061256,341
187,1,0x110222,0,199799560,486
188,1,0x110222,0,199816136,302
189,0,0x110121,0,200052264,3215
190,0,0x110121,0,201012616,1929
191,1,0x110222,0,201607048,341
192,0,0x110121,0,201864648,386
193,1,0x110222,0,202059976,354
194,1,0x110222,0,202870696,1868
195,1,0x110222,0,203039432,343
196,0,0x110121,0,203978088,2362
197,1,0x110222,0,203978216,701
198,0,0x110121,0,205432488,2128
199,0,0x110121,0,206339528,314
200,1,0x110222,0,206808328,3070
201,0,0x110121,0,207152008,280
202,0,0x110121,0,209492872,568
203,0,0x110121,0,209552872,564
204,0,0x110121,0,213323400,295
205,1,0x110222,0,213872936,543
206,0,0x110121,0,214330312,416
207,1,0x110222,0,214337032,440
208,1,0x110222,0,215650664,2276
209,0,0x110121,0,217708936,381
210,1,0x110222,0,220052136,1520
211,0,0x110121,0,220090984,1001
212,1,0x110222,0,220091080,1164
213,1,0x110222,0,221478888,1747
214,1,0x110222,0,223085384,866
215,0,0x110121,0,225417704,3064
216,0,0x110121,0,225437224,806
217,1,0x110222,0,226398472,438
218,1,0x110222,0,226454696,2666
219,1,0x110222,0,226999784,315
220,1,0x110222,0,227419528,397
221,1,0x110222,0,227471080,516
222,0,0x110121,0,228911496,2577
223,1,0x110222,0,228911624,604
224,0,0x110121,0,229045256,588
225,1,0x110222,0,232417000,2629
226,1,0x110222,0,233250184,401
227,1,0x110222,0,234146728,406
228,1,0x110222,0,234989160,2415
229,0,0x110121,0,236735624,3121
230,1,0x110222,0,239198120,352
231,1,0x110222,0,239861640,384
232,0,0x110121,0,240233960,229
233,0,0x110121,0,241175752,2721
234,0,0x110121,0,242022888,1168
235,1,0x110222,0,242024424,432
236,1,0x110222,0,242282376,398
237,1,0x110222,0,243783368,2662
238,1,0x110222,0,244499528,3019
239,0,0x110121,0,244895816,2061
240,1,0x110222,0,245295688,581
241,0,0x110121,0,247769864,472
242,0,0x110121,0,248050024,516
243,1,0x110222,0,248050088,1002
244,1,0x110222,0,251663624,1584
245,1,0x110222,0,253731432,4173
246,0,0x110121,0,255058184,267
247,1,0x110222,0,255892072,1404
248,1,0x110222,0,256456072,2177
249,0,0x110121,0,257008616,1798
250,1,0x110222,0,257008712,2450
251,0,0x110121,0,257239528,924
252,1,0x110222,0,257239592,2414
253,0,0x110121,0,259288904,1303
254,1,0x110222,0,259754952,2597
255,0,0x110121,0,259849800,1095
256,1,0x110222,0,260591112,292
257,0,0x110121,0,261193064,613
258,0,0x110121,0,263045096,1404
259,1,0x110222,0,263045224,538
260,0,0x110121,0,263768680,585
261,0,0x110121,0,263860360,948
262,1,0x110222,0,264150824,3540
263,0,0x110121,0,264522536,1694
264,1,0x110222,0,265436008,2334
265,1,0x110222,0,266185224,2611
266,0,0x110121,0,266438472,2963
267,0,0x110121,0,266724712,908
268,1,0x110222,0,268834472,2404
269,1,0x110222,0,268931848,1312
270,1,0x110222,0,269723848,589
271,0,0x110121,0,269942792,363
272,1,0x110222,0,270037928,3497
273,1,0x110222,0,270459176,545
274,1,0x110222,0,270537032,650
275,0,0x110121,0,271695048,923
276,1,0x110222,0,273635144,565
277,0,0x110121,0,276286280,410
278,1,0x110222,0,277434696,363
279,0,0x110121,0,277931528,2915
280,1,0x110222,0,278094888,449
281,1,0x110222,0,278840424,1696
282,0,0x110121,0,279885064,2293
283,1,0x110222,0,279885160,1515
284,1,0x110222,0,281859016,440
285,0,0x110121,0,282136744,1294
286,0,0x110121,0,283823144,288
287,1,0x110222,0,285349480,375
288,1,0x110222,0,286219112,558
289,1,0x110222,0,286225320,2717
290,1,0x110222,0,286746152,525
291,1,0x110222,0,287067080,2604
292,1,0x110222,0,287320040,2531
293,1,0x110222,0,289792808,2177
294,1,0x110222,0,290411624,2315
295,0,0x110121,0,290721768,1870
296,1,0x110222,0,290721864,2425
297,0,0x110121,0,291958728,660
298,1,0x110222,0,293033896,1211
299,0,0x110121,0,293233256,903
300,1,0x110222,0,293570504,299
301,1,0x110222,0,295017960,2277
302,1,0x110222,0,295999752,488
303,1,0x110222,0,297010120,2318
304,1,0x110222,0,297550824,2351
305,0,0x110121,0,297559592,3256
306,1,0x110222,0,297559656,2362
307,0,0x110121,0,299599240,585
308,1,0x110222,0,299599272,1749
309,0,0x110121,0,300435912,2479
310,1,0x110222,0,300934216,1735
311,0,0x110121,0,301111176,2486
312,1,0x110222,0,301111304,696
313,1,0x110222,0,301329416,2935
314,1,0x110222,0,301711464,1632
315,0,0x110121,0,303101736,3246
316,1,0x110222,0,303241064,2678
317,0,0x110121,0,304807048,3350
318,1,0x110222,0,305056328,3005
319,1,0x110222,0,306092360,537
320,0,0x110121,0,306199560,360
321,1,0x110222,0,307069640,489
322,1,0x110222,0,308107240,1568
323,0,0x110121,0,309294280,2709
324,1,0x110222,0,309294376,1183
325,0,0x110121,0,310131688,708
326,1,0x110222,0,310195880,4747
327,1,0x110222,0,311725928,2335
328,0,0x110121,0,312977256,3181
329,1,0x110222,0,312977320,2325
330,1,0x110222,0,313701448,1071
331,1,0x110222,0,314814280,350
332,0,0x110121,0,315884520,1323
333,1,0x110222,0,315997672,374
334,0,0x110121,0,316333544,2403
335,0,0x110121,0,317139400,330
336,1,0x110222,0,318106856,517
337,1,0x110222,0,318510472,2550
338,0,0x110121,0,319595336,2833
339,1,0x110222,0,322838216,1370
340,1,0x110222,0,323001928,4908
341,1,0x110222,0,323409960,4386
342,1,0x110222,0,325984424,533
343,1,0x110222,0,326032648,2406
344,1,0x110222,0,326283720,329
345,1,0x110222,0,327774312,296
346,0,0x110121,0,328382760,378
347,0,0x110121,0,330486696,692
348,1,0x110222,0,330486760,1306
349,0,0x110121,0,330674824,1981
350,1,0x110222,0,330674984,507
351,0,0x110121,0,331043912,451
352,1,0x110222,0,332012520,1320
353,1,0x110222,0,333225480,2402
354,0,0x110121,0,333263272,439
355,0,0x110121,0,333721224,2659
356,1,0x110222,0,333803656,798
357,0,0x110121,0,333878376,367
358,1,0x110222,0,338608008,2032
359,0,0x110121,0,342660552,2141
360,1,0x110222,0,343032648,1290
361,0,0x110121,0,345899528,703
362,1,0x110222,0,348504168,513
363,0,0x110121,0,348599880,994
364,1,0x110222,0,349760264,326
365,0,0x110121,0,349780360,2253
366,0,0x110121,0,350090600,331
367,1,0x110222,0,351524712,1001
368,1,0x110222,0,351762088,1975
369,1,0x110222,0,353171080,339
370,0,0x110121,0,353433064,1660
371,0,0x110121,0,353857640,3171
372,1,0x110222,0,355012136,1019
373,0,0x110121,0,357846344,3696
374,1,0x110222,0,357846568,299
375,1,0x110222,0,358217096,2316
376,1,0x110222,0,361122376,4883
377,1,0x110222,0,364475656,1287
378,1,0x110222,0,366321736,2002
379,0,0x110121,0,366638440,3299
380,0,0x110121,0,366740648,1632
381,0,0x110121,0,369062440,687
382,0,0x110121,0,369383528,1492
383,1,0x110222,0,369383592,2575
384,1,0x110222,0,369444008,592
385,1,0x110222,0,369680488,1610
386,1,0x110222,0,369968648,780
387,0,0x110121,0,370640904,2075
388,1,0x110222,0,371796680,751
389,1,0x110222,0,372885160,565
390,0,0x110121,0,373106728,3278
391,1,0x110222,0,373665544,479
392,1,0x110222,0,375006856,514
393,1,0x110222,0,377401128,723
394,1,0x110222,0,377664680,622
395,0,0x110121,0,379102664,1038
396,1,0x110222,0,379102792,664
397,1,0x110222,0,379179816,2409
398,1,0x110222,0,380117736,1843
399,1,0x110222,0,380364808,2661
400,0,0x110121,0,381072616,1327
401,0,0x110121,0,383023304,2777
402,0,0x110121,0,387536232,1632
403,1,0x110222,0,388007400,632
404,0,0x110121,0,388482920,408
405,1,0x110222,0,388629128,383
406,1,0x110222,0,389409544,568
407,1,0x110222,0,390869480,2521
408,1,0x110222,0,390899272,3936
409,1,0x110222,0,391037320,561
410,1,0x110222,0,392547144,4259
411,0,0x110121,0,394139528,1447
412,1,0x110222,0,395591560,1692
413,0,0x110121,0,397448872,562
414,0,0x110121,0,400048136,426
415,0,0x110121,0,401056232,859
416,1,0x110222,0,401354216,1606
417,1,0x110222,0,401873800,2694
418,0,0x110121,0,403322984,1306
419,0,0x110121,0,403651848,468
420,1,0x110222,0,403651880,2191
421,0,0x110121,0,403805320,1735
422,0,0x110121,0,404321544,1035
423,1,0x110222,0,405370760,637
424,0,0x110121,0,406363176,261
425,0,0x110121,0,406441800,659
426,0,0x110121,0,407593864,324
427,1,0x110222,0,408283528,395
428,1,0x110222,0,408495688,4053
429,1,0x110222,0,408644360,2452
430,1,0x110222,0,410857128,776
431,1,0x110222,0,412150696,2633
432,0,0x110121,0,415287784,249
433,0,0x110121,0,415330024,488
434,1,0x110222,0,416687656,2799
435,1,0x110222,0,416911272,281
436,1,0x110222,0,417493096,680
437,1,0x110222,0,418063944,313
438,1,0x110222,0,418918024,507
439,1,0x110222,0,418993352,591
440,1,0x110222,0,420641288,1590
441,1,0x110222,0,421181128,1204
442,0,0x110121,0,425894120,3191
443,0,0x110121,0,428765288,2251
444,1,0x110222,0,428765544,282
445,0,0x110121,0,429311880,2163
446,0,0x110121,0,430819752,363
